SampleID	Group	Color
MS001	MS	#56AED2
MS002	MS	#56AED2
MS003	MS	#56AED2
MS004	MS	#56AED2
MS005	MS	#56AED2
MS006	MS	#56AED2
MS007	MS	#56AED2
MS008	MS	#56AED2
MS009	MS	#56AED2
MS010	MS	#56AED2
MS011	MS	#56AED2
MS012	MS	#56AED2
MS013	MS	#56AED2
MS014	MS	#56AED2
MS015	MS	#56AED2
MS016	MS	#56AED2
MS017	MS	#56AED2
MS018	MS	#56AED2
MS019	MS	#56AED2
MS020	MS	#56AED2
MS021	MS	#56AED2
MS022	MS	#56AED2
MS023	MS	#56AED2
MS024	MS	#56AED2
MS025	MS	#56AED2
MS026	MS	#56AED2
MS027	MS	#56AED2
MS028	MS	#56AED2
MS029	MS	#56AED2
MS030	MS	#56AED2
MS031	MS	#56AED2
MS032	MS	#56AED2
MS033	MS	#56AED2
MS034	MS	#56AED2
MS035	MS	#56AED2
MS036	MS	#56AED2
MS037	MS	#56AED2
MS038	MS	#56AED2
MS039	MS	#56AED2
MS040	MS	#56AED2
MS041	MS	#56AED2
MS042	MS	#56AED2
MS043	MS	#56AED2
MS044	MS	#56AED2
MS045	MS	#56AED2
MS046	MS	#56AED2
MS047	MS	#56AED2
MS048	MS	#56AED2
MS049	MS	#56AED2
MS050	MS	#56AED2
MS051	MS	#56AED2
MS052	MS	#56AED2
MS053	MS	#56AED2
MS054	MS	#56AED2
MS055	MS	#56AED2
MS056	MS	#56AED2
MS057	MS	#56AED2
MS058	MS	#56AED2
MS059	MS	#56AED2
MS060	MS	#56AED2
MS062	MS	#56AED2
MS063	MS	#56AED2
MS064	MS	#56AED2
MS065	MS	#56AED2
MS066	MS	#56AED2
MS067	MS	#56AED2
MS068	MS	#56AED2
MS069	MS	#56AED2
MS070	MS	#56AED2
MS071	MS	#56AED2
MS072	MS	#56AED2
MS073	MS	#56AED2
MS074	MS	#56AED2
MS075	MS	#56AED2
MS076	MS	#56AED2
MS077	MS	#56AED2
MS078	MS	#56AED2
MS079	MS	#56AED2
MS080	MS	#56AED2
MS081	MS	#56AED2
MS082	MS	#56AED2
MS083	MS	#56AED2
MS084	MS	#56AED2
MS085	MS	#56AED2
MS086	MS	#56AED2
MS087	MS	#56AED2
MS088	MS	#56AED2
MS089	MS	#56AED2
MS090	MS	#56AED2
MS091	MS	#56AED2
MS092	MS	#56AED2
MS093	MS	#56AED2
MS094	MS	#56AED2
MS095	MS	#56AED2
MS096	MS	#56AED2
MS097	MS	#56AED2
MS098	MS	#56AED2
MS099	MS	#56AED2
MS100	MS	#56AED2
MS101	MS	#56AED2
MS102	MS	#56AED2
MS103	MS	#56AED2
MS104	MS	#56AED2
MS105	MS	#56AED2
MS106	MS	#56AED2
MS107	MS	#56AED2
MS108	MS	#56AED2
MS109	MS	#56AED2
MS110	MS	#56AED2
MS111	MS	#56AED2
MS112	MS	#56AED2
MS113	MS	#56AED2
MS114	MS	#56AED2
MS115	MS	#56AED2
MS116	MS	#56AED2
MS117	MS	#56AED2
MS118	MS	#56AED2
MS119	MS	#56AED2
MS120	MS	#56AED2
CRC001	CRC	#EE3926
CRC002	CRC	#EE3926
CRC003	CRC	#EE3926
CRC004	CRC	#EE3926
CRC005	CRC	#EE3926
CRC006	CRC	#EE3926
CRC007	CRC	#EE3926
CRC008	CRC	#EE3926
CRC009	CRC	#EE3926
CRC010	CRC	#EE3926
CRC011	CRC	#EE3926
CRC012	CRC	#EE3926
CRC013	CRC	#EE3926
CRC014	CRC	#EE3926
CRC015	CRC	#EE3926
CRC016	CRC	#EE3926
CRC017	CRC	#EE3926
CRC018	CRC	#EE3926
CRC019	CRC	#EE3926
CRC020	CRC	#EE3926
CRC021	CRC	#EE3926
CRC022	CRC	#EE3926
CRC023	CRC	#EE3926
CRC024	CRC	#EE3926
CRC025	CRC	#EE3926
CRC026	CRC	#EE3926
CRC027	CRC	#EE3926
CRC028	CRC	#EE3926
CRC029	CRC	#EE3926
CRC030	CRC	#EE3926
CRC031	CRC	#EE3926
CRC032	CRC	#EE3926
CRC033	CRC	#EE3926
CRC034	CRC	#EE3926
CRC035	CRC	#EE3926
CRC036	CRC	#EE3926
CRC037	CRC	#EE3926
CRC038	CRC	#EE3926
CRC039	CRC	#EE3926
CRC040	CRC	#EE3926
CRC041	CRC	#EE3926
CRC042	CRC	#EE3926
CRC043	CRC	#EE3926
CRC044	CRC	#EE3926
CRC045	CRC	#EE3926
CRC046	CRC	#EE3926
CRC047	CRC	#EE3926
CRC048	CRC	#EE3926
CRC049	CRC	#EE3926
CRC050	CRC	#EE3926
CRC051	CRC	#EE3926
CRC052	CRC	#EE3926
CRC053	CRC	#EE3926
CRC054	CRC	#EE3926
CRC055	CRC	#EE3926
CRC056	CRC	#EE3926
CRC057	CRC	#EE3926
CRC058	CRC	#EE3926
CRC059	CRC	#EE3926
CRC060	CRC	#EE3926
CRC061	CRC	#EE3926
CRC062	CRC	#EE3926
CRC063	CRC	#EE3926
CRC064	CRC	#EE3926
CRC065	CRC	#EE3926
